specimen,taxon,loco
MCZ35950Hylobates_lar_lar,Hylobates_lar,Susp
MCZ41412Hylobates_lar_lar,Hylobates_lar,Susp
MCZ41415Hylobates_lar_lar,Hylobates_lar,Susp
MCZ41416Hylobates_lar_lar,Hylobates_lar,Susp
MCZ41418Hylobates_lar_lar,Hylobates_lar,Susp
MCZ41420Hylobates_lar_lar,Hylobates_lar,Susp
MCZ41423Hylobates_lar_lar,Hylobates_lar,Susp
MCZ41424Hylobates_lar_lar,Hylobates_lar,Susp
MCZ41427Hylobates_lar_lar,Hylobates_lar,Susp
MCZ41428Hylobates_lar_lar,Hylobates_lar,Susp
MCZ41431Hylobates_lar_lar,Hylobates_lar,Susp
MCZ41460Hylobates_lar_lar,Hylobates_lar,Susp
MCZ41463Hylobates_lar_lar,Hylobates_lar,Susp
MCZ41464Hylobates_lar_lar,Hylobates_lar,Susp
MCZ41465Hylobates_lar_lar,Hylobates_lar,Susp
MCZ41469Hylobates_lar_lar,Hylobates_lar,Susp
MCZ41472Hylobates_lar_lar,Hylobates_lar,Susp
MCZ41489Hylobates_lar_lar,Hylobates_lar,Susp
MCZ41492Hylobates_lar_lar,Hylobates_lar,Susp
AMNH100508Indri_indri,Indri_indri,VCL
BMNH1848-10-28-1Indri_indri,Indri_indri,VCL
BMNH1935-1-8-6Indri_indri,Indri_indri,VCL
MNHN1871-386Indri_indri,Indri_indri,VCL
MNHN1871-387Indri_indri,Indri_indri,VCL
MNHN1934-597Indri_indri,Indri_indri,VCL
MNHN1982-977Indri_indri,Indri_indri,VCL
FMNH70574Lagothrix_lagothricha_lugens,Lagothrix_lagotricha,Susp
FMNH70576Lagothrix_lagothricha_lugens,Lagothrix_lagotricha,Susp
FMNH70584Lagothrix_lagothricha_lugens,Lagothrix_lagotricha,Susp
FMNH70591Lagothrix_lagothricha_lagothricha,Lagothrix_lagotricha,Susp
FMNH70593Lagothrix_lagothricha_lagothricha,Lagothrix_lagotricha,Susp
FMNH70597Lagothrix_lagothricha_lagothricha,Lagothrix_lagotricha,Susp
FMNH98050Lagothrix_lagothricha_lagothricha,Lagothrix_lagotricha,Susp
FMNH98054Lagothrix_lagothricha_lagothricha,Lagothrix_lagotricha,Susp
FMNH98055Lagothrix_lagothricha_lagothricha,Lagothrix_lagotricha,Susp
MNHN1888-408Lagothrix_lagotricha,Lagothrix_lagotricha,Susp
AMNH170740Lemur_catta,Lemur_catta,AQ/TQ
BMNH1875-7-20-10Lemur_catta,Lemur_catta,AQ/TQ
BMNH1968-7-1-1Lemur_catta,Lemur_catta,AQ/TQ
BMNH1981-747Lemur_catta,Lemur_catta,AQ/TQ
BMOC065Lemur_catta,Lemur_catta,AQ/TQ
BMOC069Lemur_catta,Lemur_catta,AQ/TQ
BMOC099Lemur_catta,Lemur_catta,AQ/TQ
BMOC102Lemur_catta,Lemur_catta,AQ/TQ
BMOC107Lemur_catta,Lemur_catta,AQ/TQ
BMOC108Lemur_catta,Lemur_catta,AQ/TQ
BMOC193Lemur_catta,Lemur_catta,AQ/TQ
FMNH89766Lemur_catta,Lemur_catta,AQ/TQ
FMNH127368Lemur_catta,Lemur_catta,AQ/TQ
MNHN1871-391Lemur_catta,Lemur_catta,AQ/TQ
MNHN1888-396Lemur_catta,Lemur_catta,AQ/TQ
MNHN1890-323Lemur_catta,Lemur_catta,AQ/TQ
MNHN1896-379Lemur_catta,Lemur_catta,AQ/TQ
MNHN1906-311Lemur_catta,Lemur_catta,AQ/TQ
MNHN1909-289Lemur_catta,Lemur_catta,AQ/TQ
MNHN1910-101Lemur_catta,Lemur_catta,AQ/TQ
MNHN1914-307Lemur_catta,Lemur_catta,AQ/TQ
MNHNA3911Lemur_catta,Lemur_catta,AQ/TQ
MNHNA3917Lemur_catta,Lemur_catta,AQ/TQ
NMNH534283Leontopithecus_rosalia,Leontopithecus_rosalia,AQ/Leap
NMNH546321Leontopithecus_rosalia,Leontopithecus_rosalia,AQ/Leap
NMNH546323Leontopithecus_rosalia,Leontopithecus_rosalia,AQ/Leap
NMNH575160Leontopithecus_rosalia_chrysomelas,Leontopithecus_chrysomelas,AQ/Leap
NMNH583258Leontopithecus_rosalia_chrysomelas,Leontopithecus_chrysomelas,AQ/Leap
NMNH583928Leontopithecus_rosalia,Leontopithecus_rosalia,AQ/Leap
NMNH583929Leontopithecus_rosalia,Leontopithecus_rosalia,AQ/Leap
NMNH583930Leontopithecus_chrysomelas,Leontopithecus_chrysomelas,AQ/Leap
NMNH583931Leontopithecus_chrysomelas,Leontopithecus_chrysomelas,AQ/Leap
NMNH588152Leontopithecus_rosalia,Leontopithecus_rosalia,AQ/Leap
NMNH588164Leontopithecus_rosalia,Leontopithecus_rosalia,AQ/Leap
NMNH588171Leontopithecus_rosalia,Leontopithecus_rosalia,AQ/Leap
NMNH588176Leontopithecus_rosalia,Leontopithecus_rosalia,AQ/Leap
NMNH588177Leontopithecus_rosalia,Leontopithecus_rosalia,AQ/Leap
NMNH588229Leontopithecus_chrysomelas,Leontopithecus_chrysomelas,AQ/Leap
NMNH588334Leontopithecus_rosalia,Leontopithecus_rosalia,AQ/Leap
NMNH588424Leontopithecus_rosalia_rosalia,Leontopithecus_rosalia,AQ/Leap
NMNH589088Leontopithecus_rosalia,Leontopithecus_rosalia,AQ/Leap
AMNH31251Lepilemur_mustelinus_edwardsi,Lepilemur_edwardsi,VCL
AMNH100834Lepilemur_mustelinus_mustelinus,Lepilemur_mustelinus,VCL
AMNH170552Lepilemur_mustelinus_leucopus,Lepilemur_leucopus,VCL
AMNH170554Lepilemur_mustelinus_leucopus,Lepilemur_leucopus,VCL
AMNH170557Lepilemur_mustelinus_leucopus,Lepilemur_leucopus,VCL
AMNH170558Lepilemur_mustelinus_leucopus,Lepilemur_leucopus,VCL
AMNH170559Lepilemur_mustelinus_leucopus,Lepilemur_leucopus,VCL
AMNH170561Lepilemur_mustelinus_leucopus,Lepilemur_leucopus,VCL
AMNH170563Lepilemur_mustelinus_leucopus,Lepilemur_leucopus,VCL
AMNH170564Lepilemur_mustelinus_leucopus,Lepilemur_leucopus,VCL
AMNH170565Lepilemur_mustelinus_leucopus,Lepilemur_leucopus,VCL
AMNH170566Lepilemur_mustelinus_leucopus,Lepilemur_leucopus,VCL
AMNH170567Lepilemur_mustelinus_leucopus,Lepilemur_leucopus,VCL
AMNH170568Lepilemur_mustelinus_leucopus,Lepilemur_leucopus,VCL
AMNH170569Lepilemur_mustelinus_leucopus,Lepilemur_leucopus,VCL
AMNH170570Lepilemur_mustelinus_leucopus,Lepilemur_leucopus,VCL
BMNH1897-9-1-23Lepilemur_mustelinus,Lepilemur_mustelinus,VCL
BMNH1958-3-4-6Lepilemur_mustelinus,Lepilemur_mustelinus,VCL
BMNH71-4-3-11Lepilemur_mustelinus,Lepilemur_mustelinus,VCL
AMNH30620Macaca_fascicularis,Macaca_fascicularis,AQ
AMNH30622Macaca_fascicularis,Macaca_fascicularis,AQ
AMNH103654Macaca_fascicularis,Macaca_fascicularis,AQ
AMNH103659Macaca_fascicularis,Macaca_fascicularis,AQ
BMNH1872-8-20-1Macaca_fascicularis,Macaca_fascicularis,AQ
BMNH1894-6-12-13Macaca_fascicularis,Macaca_fascicularis,AQ
FMNH61026Macaca_fascicularis_fascicularis,Macaca_fascicularis,AQ
FMNH62273Macaca_fascicularis_philippinensis,Macaca_fascicularis,AQ
FMNH62275Macaca_fascicularis_philippinensis,Macaca_fascicularis,AQ
FMNH62276Macaca_fascicularis_philippinensis,Macaca_fascicularis,AQ
FMNH62902Macaca_fascicularis_philippinensis,Macaca_fascicularis,AQ
FMNH65451Macaca_fascicularis_fascicularis,Macaca_fascicularis,AQ
MCZ35608Macaca_fascicularis_fascicularis,Macaca_fascicularis,AQ
